Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub Category,Product Name,Quantity,Sales,Cost,Profit,Discount,Month,Year,Profit Margin %
ORD10076,24-12-2025,C1251,Customer 50,South,Tamil Nadu,Office Supplies,Pen,Pen,9,14841,13164.69,1676.31,10,December,2025,11.30%
ORD10077,12-06-2025,C1172,Customer 249,North,Delhi,Technology,Laptop,Laptop,8,48816.27,35692.43,13123.84,20,June,2025,26.88%
ORD10078,19-08-2025,C1168,Customer 84,South,Tamil Nadu,Office Supplies,Paper,Paper,9,34361.09,23549.41,10811.68,10,August,2025,31.46%
ORD10079,23-07-2025,C1192,Customer 20,East,West Bengal,Technology,Laptop,Laptop,7,39343.58,26075.26,13268.32,20,July,2025,33.72%
ORD10080,26-06-2025,C1074,Customer 228,South,Tamil Nadu,Technology,Laptop,Laptop,1,1245.84,848.04,397.8,5,June,2025,31.93%
ORD10081,11-05-2025,C1135,Customer 141,North,Delhi,Office Supplies,Pen,Pen,8,45163.12,27009.34,18153.78,15,May,2025,40.20%
ORD10082,06-12-2025,C1034,Customer 178,West,Maharashtra,Technology,Mouse,Mouse,2,43667.34,27677.12,15990.22,15,December,2025,36.62%
ORD10083,19-08-2025,C1110,Customer 27,West,Gujarat,Technology,Mouse,Mouse,6,15073.06,11867.14,3205.92,15,August,2025,21.27%
ORD10084,04-02-2025,C1249,Customer 107,West,Gujarat,Office Supplies,Binder,Binder,4,48179.54,37755.1,10424.44,15,February,2025,21.64%
ORD10085,24-11-2025,C1175,Customer 46,North,Delhi,Technology,Keyboard,Keyboard,7,43888.42,31481.86,12406.56,0,November,2025,28.27%
ORD10086,27-04-2025,C1199,Customer 229,West,Maharashtra,Technology,Laptop,Laptop,2,42469.89,37110.79,5359.1,10,April,2025,12.62%
ORD10087,14-02-2025,C1088,Customer 295,West,Maharashtra,Office Supplies,Binder,Binder,10,31599.16,22790.29,8808.87,10,February,2025,27.88%
ORD10088,19-12-2025,C1063,Customer 112,East,West Bengal,Furniture,Chair,Chair,9,14495.71,10253.86,4241.85,20,December,2025,29.26%
ORD10089,23-11-2025,C1095,Customer 132,North,Delhi,Technology,Keyboard,Keyboard,7,17802.89,14507.39,3295.5,5,November,2025,18.51%
ORD10090,05-10-2025,C1294,Customer 182,East,West Bengal,Technology,Keyboard,Keyboard,4,16022.13,13744.84,2277.29,5,October,2025,14.21%
ORD10091,12-03-2025,C1013,Customer 14,South,Kerala,Office Supplies,Binder,Binder,6,4589.73,2472,2117.73,5,March,2025,46.14%
ORD10092,22-05-2025,C1232,Customer 113,South,Tamil Nadu,Office Supplies,Binder,Binder,1,7321.88,5309.72,2012.16,5,May,2025,27.48%
ORD10093,06-08-2025,C1114,Customer 178,East,West Bengal,Office Supplies,Paper,Paper,1,42783.67,26837.19,15946.48,15,August,2025,37.27%
ORD10094,09-12-2025,C1035,Customer 281,South,Kerala,Technology,Keyboard,Keyboard,1,1425.75,1114.63,311.12,5,December,2025,21.82%
ORD10095,08-03-2025,C1200,Customer 134,South,Kerala,Office Supplies,Binder,Binder,5,40018.65,33451.68,6566.97,15,March,2025,16.41%
ORD10096,18-07-2025,C1143,Customer 11,West,Gujarat,Office Supplies,Paper,Paper,3,6032.1,5166.54,865.56,15,July,2025,14.35%
ORD10097,05-04-2025,C1014,Customer 140,South,Tamil Nadu,Technology,Mouse,Mouse,1,1203.09,986.25,216.84,15,April,2025,18.02%
ORD10098,11-08-2025,C1272,Customer 85,South,Kerala,Furniture,Chair,Chair,3,37629.34,20295.04,17334.3,20,August,2025,46.07%
ORD10099,07-11-2025,C1079,Customer 179,East,Odisha,Technology,Mouse,Mouse,2,47224.68,38955.43,8269.25,10,November,2025,17.51%
ORD10100,27-07-2025,C1011,Customer 83,North,Delhi,Office Supplies,Paper,Paper,10,7426.32,6420.46,1005.86,15,July,2025,13.54%
ORD10101,31-03-2025,C1199,Customer 280,West,Maharashtra,Office Supplies,Paper,Paper,6,693.74,607.06,86.68,20,March,2025,12.49%
ORD10102,08-11-2025,C1209,Customer 24,West,Gujarat,Furniture,Table,Table,2,4295.89,3862.83,433.06,10,November,2025,10.08%
ORD10103,04-10-2025,C1186,Customer 272,South,Kerala,Office Supplies,Binder,Binder,5,22506.19,14126.75,8379.44,0,October,2025,37.23%
ORD10104,02-09-2025,C1222,Customer 88,West,Gujarat,Technology,Laptop,Laptop,5,30748.17,23647.97,7100.2,5,September,2025,23.09%
ORD10105,11-06-2025,C1196,Customer 290,East,Odisha,Technology,Mouse,Mouse,10,2357.35,2049.88,307.47,5,June,2025,13.04%
ORD10106,18-02-2025,C1006,Customer 233,East,Odisha,Technology,Keyboard,Keyboard,1,46882.81,34187.26,12695.55,20,February,2025,27.08%
ORD10107,02-06-2025,C1051,Customer 215,East,Odisha,Office Supplies,Binder,Binder,3,19594.05,13477.94,6116.11,0,June,2025,31.21%
ORD10108,16-02-2025,C1211,Customer 117,South,Kerala,Furniture,Table,Table,10,37682.63,28716.9,8965.73,10,February,2025,23.79%
ORD10109,07-06-2025,C1149,Customer 63,West,Maharashtra,Technology,Mouse,Mouse,8,43705.38,30683.47,13021.91,15,June,2025,29.79%
ORD10110,13-11-2025,C1127,Customer 191,South,Karnataka,Technology,Laptop,Laptop,9,3206.87,2574.42,632.45,5,November,2025,19.72%
ORD10111,01-04-2025,C1068,Customer 250,East,Odisha,Technology,Laptop,Laptop,9,1992.88,1069.34,923.54,10,April,2025,46.34%
ORD10112,19-02-2025,C1292,Customer 136,East,West Bengal,Technology,Laptop,Laptop,4,6371.95,5206.17,1165.78,5,February,2025,18.30%
ORD10113,08-06-2025,C1032,Customer 72,South,Kerala,Furniture,Chair,Chair,4,43654.76,29658.57,13996.19,0,June,2025,32.06%
ORD10114,07-09-2025,C1153,Customer 297,South,Kerala,Office Supplies,Binder,Binder,5,37259.87,30883.64,6376.23,5,September,2025,17.11%
ORD10115,26-10-2025,C1080,Customer 272,North,Delhi,Office Supplies,Pen,Pen,5,11562.73,6997.95,4564.78,0,October,2025,39.48%
ORD10116,15-06-2025,C1144,Customer 158,East,West Bengal,Office Supplies,Pen,Pen,6,32377.93,20782.09,11595.84,10,June,2025,35.81%
ORD10117,15-06-2025,C1012,Customer 45,East,Odisha,Technology,Mouse,Mouse,3,49854.54,43621.15,6233.39,15,June,2025,12.50%
ORD10118,13-06-2025,C1067,Customer 97,North,Delhi,Office Supplies,Pen,Pen,6,29387.74,22161.96,7225.78,5,June,2025,24.59%
ORD10119,04-05-2025,C1031,Customer 118,North,Punjab,Technology,Keyboard,Keyboard,9,8259.77,6256.87,2002.9,0,May,2025,24.25%
ORD10120,13-03-2025,C1152,Customer 87,North,Punjab,Furniture,Chair,Chair,4,5967.17,4823.25,1143.92,0,March,2025,19.17%
ORD10121,27-06-2025,C1214,Customer 260,West,Gujarat,Furniture,Table,Table,8,36713.96,31830.58,4883.38,5,June,2025,13.30%
ORD10122,23-06-2025,C1262,Customer 119,East,West Bengal,Furniture,Table,Table,7,7186.29,4635.41,2550.88,0,June,2025,35.50%
ORD10123,28-06-2025,C1220,Customer 172,East,Odisha,Technology,Mouse,Mouse,8,21315.29,14237.6,7077.69,5,June,2025,33.20%
ORD10124,31-07-2025,C1031,Customer 36,South,Karnataka,Technology,Laptop,Laptop,6,32546.97,27441.87,5105.1,15,July,2025,15.69%
ORD10125,13-12-2025,C1042,Customer 181,West,Gujarat,Technology,Laptop,Laptop,5,9532.56,6827.38,2705.18,15,December,2025,28.38%
ORD10126,10-07-2025,C1280,Customer 37,East,Odisha,Office Supplies,Binder,Binder,10,10583.07,6654.59,3928.48,5,July,2025,37.12%
ORD10127,25-11-2025,C1104,Customer 206,West,Gujarat,Office Supplies,Binder,Binder,2,14526.15,8178.11,6348.04,10,November,2025,43.70%
ORD10128,04-02-2025,C1014,Customer 299,North,Delhi,Office Supplies,Paper,Paper,4,7875.22,6920.24,954.98,20,February,2025,12.13%
ORD10129,27-11-2025,C1070,Customer 290,South,Kerala,Furniture,Table,Table,3,26161.65,15927.8,10233.85,0,November,2025,39.12%
ORD10130,14-03-2025,C1178,Customer 147,South,Karnataka,Office Supplies,Binder,Binder,3,12962.16,9490.64,3471.52,5,March,2025,26.78%
ORD10131,20-08-2025,C1031,Customer 105,East,West Bengal,Office Supplies,Pen,Pen,6,12926.66,6951.25,5975.41,10,August,2025,46.23%
ORD10132,22-03-2025,C1034,Customer 104,East,West Bengal,Technology,Mouse,Mouse,9,4044.28,3447.65,596.63,20,March,2025,14.75%
ORD10133,18-02-2025,C1070,Customer 23,East,West Bengal,Technology,Keyboard,Keyboard,6,23984.18,12027.56,11956.62,20,February,2025,49.85%
ORD10134,12-09-2025,C1215,Customer 252,West,Maharashtra,Technology,Mouse,Mouse,9,34730.44,17922.54,16807.9,5,September,2025,48.40%
ORD10135,13-07-2025,C1127,Customer 199,North,Delhi,Furniture,Table,Table,6,1097.88,565.39,532.49,10,July,2025,48.50%
ORD10136,08-05-2025,C1242,Customer 181,South,Kerala,Furniture,Table,Table,5,19091.28,16633.45,2457.83,0,May,2025,12.87%
ORD10137,31-08-2025,C1075,Customer 260,West,Maharashtra,Furniture,Table,Table,5,39668.58,25292.93,14375.65,20,August,2025,36.24%
ORD10138,08-01-2025,C1023,Customer 134,East,West Bengal,Technology,Keyboard,Keyboard,9,45168.92,26551.61,18617.31,0,January,2025,41.22%
ORD10139,09-03-2025,C1206,Customer 10,South,Tamil Nadu,Technology,Mouse,Mouse,2,20854.43,17523.61,3330.82,20,March,2025,15.97%
ORD10140,26-11-2025,C1241,Customer 211,West,Gujarat,Office Supplies,Binder,Binder,6,44208.97,39492.66,4716.31,10,November,2025,10.67%
ORD10141,27-04-2025,C1174,Customer 285,West,Gujarat,Furniture,Chair,Chair,1,1954.1,1066.36,887.74,15,April,2025,45.43%
ORD10142,04-02-2025,C1125,Customer 285,South,Karnataka,Furniture,Table,Table,9,10942.65,9454.84,1487.81,5,February,2025,13.60%
ORD10143,05-12-2025,C1164,Customer 231,East,West Bengal,Technology,Mouse,Mouse,6,18287.31,13480.39,4806.92,0,December,2025,26.29%
ORD10144,16-09-2025,C1288,Customer 186,West,Maharashtra,Technology,Keyboard,Keyboard,5,1566.2,1357.37,208.83,15,September,2025,13.33%
ORD10145,18-01-2025,C1253,Customer 15,West,Maharashtra,Technology,Mouse,Mouse,6,47280.06,27958.96,19321.1,10,January,2025,40.87%
ORD10146,28-07-2025,C1174,Customer 194,East,Odisha,Office Supplies,Paper,Paper,10,40513.65,33037.57,7476.08,20,July,2025,18.45%
ORD10147,06-02-2025,C1180,Customer 201,East,West Bengal,Furniture,Table,Table,1,41595.06,33614.09,7980.97,5,February,2025,19.19%
ORD10148,02-07-2025,C1007,Customer 193,North,Delhi,Furniture,Table,Table,4,49375.83,24974.1,24401.73,0,July,2025,49.42%
ORD10149,26-02-2025,C1275,Customer 289,East,Odisha,Furniture,Table,Table,8,14821.29,9832.15,4989.14,10,February,2025,33.66%
ORD10150,23-01-2025,C1040,Customer 213,West,Gujarat,Technology,Laptop,Laptop,5,49301.23,44241.51,5059.72,20,January,2025,10.26%
ORD10151,19-10-2025,C1251,Customer 61,East,West Bengal,Office Supplies,Binder,Binder,4,25970.31,16021.36,9948.95,5,October,2025,38.31%
ORD10152,17-01-2025,C1023,Customer 207,South,Kerala,Technology,Laptop,Laptop,4,48031.9,33270.87,14761.03,15,January,2025,30.73%
ORD10153,10-05-2025,C1271,Customer 128,West,Gujarat,Technology,Laptop,Laptop,10,18777.99,11217.91,7560.08,15,May,2025,40.26%
ORD10154,24-08-2025,C1007,Customer 11,West,Gujarat,Furniture,Table,Table,2,6986.69,5294.81,1691.88,0,August,2025,24.22%
ORD10155,02-06-2025,C1051,Customer 192,West,Gujarat,Furniture,Chair,Chair,2,29113.75,24780.79,4332.96,10,June,2025,14.88%
ORD10156,21-12-2025,C1008,Customer 11,East,Odisha,Office Supplies,Paper,Paper,5,48582.05,39772.03,8810.02,0,December,2025,18.13%
ORD10157,23-04-2025,C1272,Customer 72,North,Punjab,Technology,Laptop,Laptop,7,1812.33,1626.55,185.78,0,April,2025,10.25%
ORD10158,29-05-2025,C1109,Customer 167,West,Gujarat,Office Supplies,Pen,Pen,6,21514.44,14328.43,7186.01,20,May,2025,33.40%
ORD10159,18-05-2025,C1259,Customer 46,North,Punjab,Office Supplies,Binder,Binder,1,45109.97,28560.89,16549.08,15,May,2025,36.69%
ORD10160,02-02-2025,C1106,Customer 175,North,Delhi,Technology,Keyboard,Keyboard,3,35589.98,25536.7,10053.28,15,February,2025,28.25%
ORD10161,07-08-2025,C1046,Customer 156,North,Punjab,Office Supplies,Pen,Pen,5,45715.6,35193.64,10521.96,10,August,2025,23.02%
ORD10162,22-04-2025,C1041,Customer 237,West,Gujarat,Furniture,Table,Table,10,18717.92,12587.15,6130.77,10,April,2025,32.75%
ORD10163,06-11-2025,C1147,Customer 133,North,Delhi,Office Supplies,Paper,Paper,1,40593.84,22284.11,18309.73,20,November,2025,45.10%
ORD10164,19-01-2025,C1250,Customer 65,North,Punjab,Office Supplies,Pen,Pen,4,17888.18,12700.97,5187.21,20,January,2025,29.00%
ORD10165,20-04-2025,C1058,Customer 148,East,West Bengal,Technology,Laptop,Laptop,1,40451.6,21217.58,19234.02,20,April,2025,47.55%
ORD10166,30-08-2025,C1191,Customer 95,North,Delhi,Technology,Mouse,Mouse,3,42466.24,34792.12,7674.12,10,August,2025,18.07%
ORD10167,25-03-2025,C1258,Customer 122,West,Maharashtra,Office Supplies,Pen,Pen,4,22559.44,17725.05,4834.39,15,March,2025,21.43%
ORD10168,26-06-2025,C1293,Customer 204,West,Gujarat,Furniture,Chair,Chair,8,3704.1,1958.81,1745.29,15,June,2025,47.12%
ORD10169,09-01-2025,C1265,Customer 118,South,Karnataka,Office Supplies,Pen,Pen,10,37270.62,29456.62,7814,20,January,2025,20.97%
ORD10170,04-10-2025,C1020,Customer 43,West,Gujarat,Office Supplies,Paper,Paper,7,22755.38,13387.73,9367.65,5,October,2025,41.17%
ORD10171,16-02-2025,C1049,Customer 93,South,Kerala,Technology,Keyboard,Keyboard,9,3118.11,2698.92,419.19,10,February,2025,13.44%
ORD10172,24-06-2025,C1208,Customer 209,South,Karnataka,Technology,Laptop,Laptop,2,41659.14,29807,11852.14,5,June,2025,28.45%
ORD10173,16-08-2025,C1148,Customer 237,North,Delhi,Furniture,Table,Table,7,2593.58,2243.49,350.09,0,August,2025,13.50%
ORD10174,09-11-2025,C1085,Customer 264,South,Kerala,Technology,Keyboard,Keyboard,1,21633.27,13578.51,8054.76,10,November,2025,37.23%
ORD10175,17-05-2025,C1023,Customer 162,South,Kerala,Furniture,Table,Table,1,30381.76,19671.89,10709.87,0,May,2025,35.25%
ORD10176,18-07-2025,C1075,Customer 29,North,Punjab,Furniture,Chair,Chair,6,49396.07,42948.4,6447.67,0,July,2025,13.05%
ORD10177,16-10-2025,C1236,Customer 11,South,Karnataka,Office Supplies,Pen,Pen,1,38864.38,34519.53,4344.85,10,October,2025,11.18%
ORD10178,05-02-2025,C1026,Customer 2,West,Gujarat,Technology,Laptop,Laptop,10,48884.17,43180.94,5703.23,0,February,2025,11.67%
ORD10179,04-03-2025,C1116,Customer 17,East,West Bengal,Furniture,Chair,Chair,5,2335.31,1734.75,600.56,15,March,2025,25.72%
ORD10180,18-12-2025,C1117,Customer 50,West,Maharashtra,Furniture,Chair,Chair,2,32939.88,27313.7,5626.18,10,December,2025,17.08%
ORD10181,11-01-2025,C1025,Customer 280,North,Delhi,Technology,Laptop,Laptop,7,45519.96,39141.11,6378.85,5,January,2025,14.01%
ORD10182,06-12-2025,C1080,Customer 235,West,Gujarat,Technology,Mouse,Mouse,1,39545.45,30979.13,8566.32,0,December,2025,21.66%
ORD10183,11-09-2025,C1206,Customer 258,South,Karnataka,Office Supplies,Paper,Paper,7,47849.13,26084.31,21764.82,0,September,2025,45.49%
ORD10184,01-12-2025,C1029,Customer 258,South,Karnataka,Office Supplies,Binder,Binder,9,19290.36,10362.93,8927.43,5,December,2025,46.28%
ORD10185,16-07-2025,C1228,Customer 147,South,Kerala,Furniture,Table,Table,6,20595.11,12698.82,7896.29,0,July,2025,38.34%
ORD10186,30-05-2025,C1266,Customer 187,East,West Bengal,Office Supplies,Pen,Pen,7,10375.1,5876.45,4498.65,10,May,2025,43.36%
ORD10187,02-09-2025,C1236,Customer 137,East,West Bengal,Furniture,Table,Table,2,39108.69,25117.53,13991.16,0,September,2025,35.78%
ORD10188,15-04-2025,C1251,Customer 207,East,Odisha,Furniture,Table,Table,9,19133.01,17170.42,1962.59,0,April,2025,10.26%
ORD10189,06-12-2025,C1234,Customer 251,East,West Bengal,Office Supplies,Binder,Binder,9,32549.31,20932.42,11616.89,20,December,2025,35.69%
